id,overall-ratings
522,1
738,0
741,1
661,1
412,0
679,1
627,1
514,1
860,1
137,1
812,0
77,0
637,1
974,1
939,1
900,1
281,1
884,1
762,0
320,0
550,1
175,1
372,1
528,0
211,1
236,0
102,0
987,1
903,1
948,1
347,1
140,1
622,1
500,1
371,1
199,1
688,0
585,0
902,0
60,1
329,1
97,1
313,0
975,1
300,1
278,0
925,0
602,1
440,1
838,0
571,1
880,0
262,0
579,0
24,0
31,1
618,0
11,1
222,1
821,1
297,0
55,1
543,1
210,1
605,1
693,1
663,1
867,1
71,1
544,0
108,1
494,1
591,1
742,0
293,1
290,1
653,1
40,1
590,1
308,1
680,1
67,0
276,1
68,1
319,1
549,0
999,1
715,1
754,0
328,1
383,1
452,1
523,1
219,1
788,1
437,1
765,1
89,1
64,1
827,1
717,1
352,1
937,1
257,1
636,1
645,1
555,1
960,1
169,1
918,1
529,1
824,1
986,1
817,0
87,0
433,1
185,1
979,0
535,1
295,0
893,1
426,1
714,1
261,1
238,1
560,0
584,0
446,1
868,1
801,1
600,1
850,1
266,1
996,1
530,1
56,1
121,1
216,1
26,0
73,1
45,1
248,1
722,0
282,0
894,1
915,1
811,1
245,0
823,1
322,1
644,1
159,1
978,1
430,1
942,0
463,1
310,1
698,1
61,0
885,1
596,1
768,0
650,1
651,1
866,0
669,1
299,1
690,1
315,1
311,0
362,1
480,0
111,1
990,1
487,1
364,1
255,1
260,1
803,1
678,1
495,1
671,1
378,0
527,1
846,1
138,1
356,1
366,0
943,1
750,1
949,1
830,1
657,1
200,1
214,1
409,0
333,1
209,1
614,1
79,1
